City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arraial do cabo,-22.9661,-42.0278,26.27,85,97,8.01,BR,1707866198
1,guerrero negro,27.9769,-114.0611,17.99,38,0,5.35,MX,1707866198
2,sovetsk,55.0839,21.8785,3.1,82,100,2.23,RU,1707866199
3,nuku'alofa,-21.1333,-175.2,30.19,79,75,8.23,TO,1707866199
4,margaret river,-33.95,115.0667,13.28,78,65,4.89,AU,1707866199
5,berdigestyakh,62.0989,126.6992,-26.67,97,100,2.06,RU,1707866200
6,bredasdorp,-34.5322,20.0403,17.63,87,15,2.12,ZA,1707866200
7,belmonte,-15.8631,-38.8828,25.88,85,7,2.06,BR,1707866200
8,stanley,54.868,-1.6985,5.44,94,0,1.03,GB,1707866200
9,adamstown,-25.066,-130.1015,24.45,81,100,7.28,PN,1707866201
10,kamyshin,50.0983,45.416,0.66,98,100,5.98,RU,1707866201
11,jamestown,42.097,-79.2353,0.01,83,100,7.72,US,1707865982
12,katsuura,35.1333,140.3,12.3,63,0,4.71,JP,1707866202
13,tiksi,71.6872,128.8694,-24.67,99,100,2.07,RU,1707866202
14,ribeira grande,38.5167,-28.7,15.99,78,100,6.71,PT,1707866202
15,port mathurin,-19.6833,63.4167,27.42,80,81,8.04,MU,1707866203
16,ilulissat,69.2167,-51.1,-24.99,53,4,1.03,GL,1707866203
17,ushuaia,-54.8,-68.3,11.81,58,0,11.32,AR,1707866203
18,invercargill,-46.4,168.35,20.2,51,0,3.32,NZ,1707866203
19,grytviken,-54.2811,-36.5092,6.57,96,100,2.43,GS,1707866203
20,barabai,-2.5833,115.3833,23.0,96,100,1.16,ID,1707866204
21,isafjordur,66.0755,-23.124,-5.0,79,30,4.11,IS,1707866204
22,chonchi,-42.6128,-73.8092,21.56,52,9,0.58,CL,1707866204
23,vorgashor,67.5833,63.95,-31.58,98,9,2.76,RU,1707866205
24,nadym,65.5333,72.5167,-36.64,95,17,3.87,RU,1707866205
25,petropavlovsk-kamchatsky,53.0452,158.6483,-19.67,55,40,3.0,RU,1707866205
26,gejiu,23.306,103.1635,5.53,91,28,1.56,CN,1707866206
27,huanggang,23.677,116.9996,14.94,83,5,0.89,CN,1707866206
28,port-aux-francais,-49.35,70.2167,7.88,89,100,9.22,TF,1707866206
29,lebu,-37.6167,-73.65,16.42,76,57,4.8,CL,1707866207
30,kurkino,53.4257,38.6582,-6.71,95,100,5.97,RU,1707866207
31,san patricio,28.017,-97.5169,19.4,45,94,5.03,US,1707866207
32,gorontalo,0.5412,123.0595,24.86,88,99,1.52,ID,1707866208
33,freetown,8.484,-13.2299,26.23,79,49,3.71,SL,1707866208
34,bethel,41.3712,-73.414,1.38,80,0,1.54,US,1707866176
35,bamboo flat,11.7,92.7167,25.05,88,40,0.0,IN,1707866208
36,mo i rana,66.3128,14.1428,-6.74,58,40,4.63,NO,1707866209
37,kodiak,57.79,-152.4072,3.73,93,100,9.26,US,1707866105
38,afif,23.9065,42.9172,17.09,43,47,6.92,SA,1707866209
39,hami,42.8,93.45,-3.44,40,0,2.68,CN,1707866210
40,puerto del rosario,28.5004,-13.8627,21.86,49,100,2.57,ES,1707866210
41,udomlya,57.8794,34.9925,-17.51,95,50,3.93,RU,1707866210
42,ponta delgada,37.7333,-25.6667,15.4,94,40,5.14,PT,1707866210
43,puerto natales,-51.7236,-72.4875,11.38,96,96,1.33,CL,1707866190
44,mount isa,-20.7333,139.5,28.87,70,64,5.14,AU,1707866211
45,pisco,-13.7,-76.2167,26.03,69,20,8.75,PE,1707866211
46,tsiombe,-25.3,45.4833,24.32,87,99,5.96,MG,1707866211
47,magadan,59.5667,150.8,-26.07,94,85,2.35,RU,1707866212
48,port alfred,-33.5906,26.891,19.54,90,69,0.45,ZA,1707866212
49,santana,-0.0583,-51.1817,25.1,94,40,1.54,BR,1707865951
50,camrose,53.0168,-112.8353,-4.26,67,99,3.58,CA,1707866212
51,turpan,42.9333,89.1667,1.45,40,0,2.02,CN,1707866213
52,ust-nera,64.5667,143.2,-39.87,96,88,0.16,RU,1707866213
53,ust'-ordynskiy,52.805,104.7508,-27.04,98,96,2.07,RU,1707866214
54,saldanha,-33.0117,17.9442,17.84,91,37,4.47,ZA,1707866062
55,west island,-12.1568,96.8225,27.99,74,59,4.63,CC,1707866214
56,chhatarpur,24.9,79.6,16.36,61,88,2.62,IN,1707866214
57,nagqu,31.5,92.0,-7.23,34,100,0.99,CN,1707866215
58,al jawf,29.5,38.75,15.85,44,42,4.23,SA,1707866215
59,carahue,-38.7,-73.1667,19.76,51,96,2.29,CL,1707866215
60,rio grande,-32.035,-52.0986,22.06,61,100,6.01,BR,1707866215
61,balikpapan,-1.2675,116.8289,24.55,88,20,2.57,ID,1707866215
62,tamanrasset,22.785,5.5228,16.95,20,0,2.57,DZ,1707866216
63,montereau-fault-yonne,48.3833,2.95,10.26,81,99,5.87,FR,1707866216
64,barra de santo antonio,-9.4047,-35.5072,27.6,81,100,2.75,BR,1707866216
65,khalkhal,37.6189,48.5258,5.22,51,100,2.56,IR,1707866216
66,kirakira,-10.4544,161.9205,29.34,71,100,3.21,SB,1707866217
